x,y,z
-8.09332,7.03317,0.91787
4.02145,6.85888,4.59796
-1.64287,3.92524,-0.73097
-3.63724,-6.00465,1.50883
-5.17716,2.66495,2.46096
-7.23719,5.12513,-1.85774
1.22002,6.1781,-4.87081
8.73811,-0.51104,0.63945
-5.61559,8.06659,1.44941
-5.5625,9.71876,3.5419
-2.13793,-1.19697,-3.92998
3.00416,-4.35687,-2.41984
2.46369,-10.73826,-2.38007
4.64183,4.54628,0.98924
7.87699,6.4866,-0.65178
8.62828,-7.13603,-3.15231
-1.30828,-6.95687,0.29983
4.30989,-4.39463,-0.00207
5.99586,4.53481,-1.1747
-6.18862,9.16759,-3.82532
-6.569,4.32677,-4.47974
-5.77316,7.43765,0.67823
-0.38969,-1.22165,2.45148
-9.57495,-5.67701,-3.15778
-7.83533,-1.70089,-0.20582
-7.89283,7.01261,-3.3073
1.54473,8.80749,-0.69599
-9.9734,-5.07676,0.98147
-8.30951,3.18371,4.11237
14.72445,12.15369,-4.46713
3.35605,3.16643,0.48009
-12.97296,2.63991,-0.61935
-4.18089,-5.13668,0.5084
-10.48239,4.0119,2.18848
-2.00751,7.5091,-2.465
10.11251,-3.69319,-1.13838
2.47669,-5.29285,3.68786
7.40057,10.24451,8.2431
-8.04141,-5.66781,1.53782
-6.73923,2.78523,-0.90424
5.20002,7.71999,-2.44132
-10.52932,3.3167,-0.50401
5.5776,-10.95932,-4.53547
-8.99703,-10.16326,0.30514
6.66257,3.84989,2.80265
-0.72027,8.92353,0.04034
9.41017,-10.77702,0.07232
3.29767,-5.13545,-0.73176
-2.63733,-5.10602,2.64773
-6.21526,5.50675,2.07967
-7.68831,-12.14416,-0.08442
6.81957,-6.00179,-1.06194
1.39463,-1.12672,3.0932
9.17048,-7.52575,-0.74391
-6.98153,-6.44315,-1.24804
9.01119,-7.175,-2.61294
6.73189,4.76108,6.42729
-7.59249,5.81766,-3.07566
-1.82927,-3.82611,-4.25965
-6.03357,-7.5994,5.21948
-0.28972,3.22754,3.71094
-7.75351,-8.38475,-4.09483
3.85676,6.29089,2.63127
7.68921,6.43727,2.91958
3.51642,-8.04381,0.87792
-9.38217,-6.453,0.28854
-1.43651,-8.16076,-2.20513
-11.13147,-5.11933,2.71759
2.7978,-9.89597,-7.16247
9.14226,15.74481,0.3886
-2.6892,2.61052,-3.9612
12.32843,1.97373,0.79826
6.36788,-11.4972,-4.37254
3.3,-5.36399,-1.58428
6.5181,5.24264,3.26366
-3.08883,12.41647,-3.30732
-10.32609,6.96237,-2.05259
-4.47123,5.60529,0.40428
8.19978,5.74104,-0.47268
10.91213,3.70277,-0.4555
-4.12731,10.27728,-3.55216
-11.53145,-7.3978,2.61338
3.26049,6.91472,2.00023
3.42115,6.98483,2.76524
5.4766,-6.63181,2.37811
6.16484,-8.20409,0.63455
-3.29724,3.71905,-3.11291
-5.69311,9.35081,4.01121
-7.46858,-8.09445,-1.0543
-2.55244,8.64074,0.12448
-12.49083,-8.30075,2.41737
-4.17829,3.91674,-0.69514
8.72936,2.68052,3.3115
-9.55514,-8.58651,-6.89514
-3.84657,2.72697,-5.79064
-5.34648,-5.90629,-2.63914
-7.27665,8.56969,-2.99618
7.41449,-0.72321,-3.26069
4.23542,5.66004,-1.4194
-3.52391,-8.80898,-1.13427
5.41376,2.56983,3.81563
2.02663,9.05034,1.09212
-5.41285,-5.39402,-0.07976
4.71437,-12.0445,1.42997
1.40445,3.77862,-3.29202
-8.70992,-3.53617,-4.59128
-7.55231,9.08075,6.03495
-4.01011,8.31635,3.36121
-10.45624,10.02775,0.76498
2.05641,-11.33254,-3.20179
3.79892,-2.62443,-0.36689
3.81614,-8.92698,9.22522
7.4356,5.83976,-0.96392
-10.18062,2.87214,-1.29765
-7.13877,-5.479,1.14944
-9.24123,-3.25924,-1.29295
-3.02525,-4.49821,-9.03266
6.83672,-5.40631,0.74027
-4.71836,-7.22234,7.21109
-8.89088,-11.24838,-1.75948
4.53485,-15.99987,-0.94039
2.48539,-2.70143,-4.53464
12.04796,2.79953,-1.99339
-2.43863,-4.37179,4.554
5.58224,-7.75813,-2.00221
5.27501,4.00384,4.41541
-4.01581,8.15272,-4.85479
-8.22972,-4.3811,1.16065
-2.98903,-7.99213,1.34823
-6.54306,3.76104,-2.00242
8.13653,-8.36779,-1.285
-4.81858,-7.13734,-4.53516
12.70755,-4.0074,-3.67278
7.57485,5.53361,4.7529
-6.05331,-4.52773,-0.14107
-7.53643,-2.57445,1.69243
-3.68682,7.36366,1.0865
9.27539,-7.33333,2.14341
4.84501,-4.58456,-1.75915
6.74248,-3.4437,2.84226
-7.69888,-6.7303,-2.67313
8.42774,-2.59516,4.79218
-7.88274,-4.56252,-6.43184
1.33042,8.28588,-0.77181
4.03322,-3.37311,0.42972
9.86312,5.9237,-2.7453
-5.00298,-5.62274,3.04871
-5.25676,-3.53222,-0.82282
-6.48279,8.64161,-0.74225
2.84489,-8.20267,-2.47354
-7.65306,-1.07495,0.96895
3.9265,8.33383,-4.46444
5.24645,-8.3888,-3.1011
-0.07572,-11.52781,-0.37884
6.20838,9.36796,-1.50875
-5.14624,4.52326,-0.13724
-8.35577,1.16517,1.38224
-12.94943,9.53144,-1.61035
-6.70155,5.01709,-2.21105
4.48555,-6.7104,-0.64721
-10.60413,7.39474,-2.125
-7.41135,2.5298,-0.21902
-6.64745,-5.49917,-4.52187
11.99602,-4.93701,-2.93609
1.67754,-5.66774,3.51803
-4.92483,-8.39229,1.98732
-4.93224,-5.08938,-3.36013
-5.47189,-10.46258,0.65764
-5.35591,-7.71642,0.52516
3.45734,-0.19008,5.5608
